folio,ring,slot,n_slots_in_ring,clock,angle_deg,eva_label,eva_label_clean,n_tokens,central
f70v1,1,1,10,00:00,0.0,opchey.sal,opchey.sal,1,0
f70v1,1,2,10,01:00,30.0,otakaizan,otakaizan,1,0
f70v1,1,3,10,02:30,75.0,okalal,okalal,1,0
f70v1,1,4,10,03:30,105.0,otaly,otaly,1,0
f70v1,1,5,10,04:30,135.0,oalcheg,oalcheg,1,0
f70v1,1,6,10,06:00,180.0,otchodals,otchodals,1,0
f70v1,1,7,10,07:00,210.0,okolshy,okolshy,1,0
f70v1,1,8,10,08:00,240.0,otshshdy,otshshdy,1,0
f70v1,1,9,10,09:00,270.0,otal.ypsharal,otal.ypsharal,1,0
f70v1,1,10,10,10:30,315.0,otalchy.tar.am.dy,otalchy.tar.am.dy,1,0
f70v1,2,1,5,00:00,0.0,otalaiin,otalaiin,1,0
f70v1,2,2,5,02:00,60.0,oteo.alals.araly,oteo.alals.araly,1,0
f70v1,2,3,5,05:00,150.0,oteoeey.otal.okealar,oteoeey.otal.okealar,1,0
f70v1,2,4,5,08:00,240.0,otear.araydy,otear.araydy,1,0
f70v1,2,5,5,10:30,315.0,okoly,okoly,1,0
f70v2,1,1,19,00:00,0.0,oty.ar,oty.ar,1,0
f70v2,1,2,19,00:30,15.0,okala,okala,1,0
f70v2,1,3,19,01:00,30.0,otody,otody,1,0
f70v2,1,4,19,01:30,45.0,otald,otald,1,0
f70v2,1,5,19,02:00,60.0,otaldar,otaldar,1,0
f70v2,1,6,19,02:45,82.5,okody,okody,1,0
f70v2,1,7,19,03:15,97.5,opysam,opysam,1,0
f70v2,1,8,19,04:00,120.0,ch{ckhh}y,chy,1,0
f70v2,1,9,19,04:30,135.0,otaly,otaly,1,0
f70v2,1,10,19,05:30,165.0,otal.arar,otal.arar,1,0
f70v2,1,11,19,06:30,195.0,otaldy,otaldy,1,0
f70v2,1,12,19,07:00,210.0,okeoly,okeoly,1,0
f70v2,1,13,19,08:00,240.0,okydy,okydy,1,0
f70v2,1,14,19,08:30,255.0,okee[s:r],okees,1,0
f70v2,1,15,19,09:00,270.0,otalalg,otalalg,1,0
f70v2,1,16,19,10:00,300.0,ykary,ykary,1,0
f70v2,1,17,19,10:30,315.0,otar?,otar,1,0
f70v2,1,18,19,11:00,330.0,oty,oty,1,0
f70v2,1,19,19,11:30,345.0,oky.ody,oky.ody,1,0
f70v2,2,1,10,00:00,0.0,otalar,otalar,1,0
f70v2,2,2,10,01:30,45.0,otalam,otalam,1,0
f70v2,2,3,10,03:00,90.0,dolaram,dolaram,1,0
f70v2,2,4,10,04:00,120.0,okaram,okaram,1,0
f70v2,2,5,10,05:00,150.0,oteosal,oteosal,1,0
f70v2,2,6,10,06:30,195.0,salols,salols,1,0
f70v2,2,7,10,08:00,240.0,okaldal,okaldal,1,0
f70v2,2,8,10,09:00,270.0,ykolaiin,ykolaiin,1,0
f70v2,2,9,10,10:00,300.0,otar.am,otar.am,1,0
f70v2,2,10,10,11:00,330.0,"otar,al","otar,al",2,0
f70v2,0,0,0,,,otolal,otolal,1,1
f71r,1,1,10,00:00,0.0,oteoaldy,oteoaldy,1,0
f71r,1,2,10,01:00,30.0,oteolar,oteolar,1,0
f71r,1,3,10,02:00,60.0,okeoaly,okeoaly,1,0
f71r,1,4,10,03:00,90.0,otaleky,otaleky,1,0
f71r,1,5,10,04:30,135.0,otalsar,otalsar,1,0
f71r,1,6,10,05:30,165.0,cheary,cheary,1,0
f71r,1,7,10,07:00,210.0,oteotey.rary,oteotey.rary,1,0
f71r,1,8,10,08:30,255.0,otalaly,otalaly,1,0
f71r,1,9,10,10:00,300.0,oteos.arar,oteos.arar,1,0
f71r,1,10,10,11:00,330.0,okldam,okldam,1,0
f71r,2,1,5,00:30,15.0,otoloaram,otoloaram,1,0
f71r,2,2,5,03:30,105.0,oteeol,oteeol,1,0
f71r,2,3,5,05:30,165.0,otolchd,otolchd,1,0
f71r,2,4,5,08:00,240.0,otaldar,otaldar,1,0
f71r,2,5,5,11:00,330.0,otolchdy,otolchdy,1,0
f71v,1,1,10,00:00,0.0,okolar,okolar,1,0
f71v,1,2,10,01:00,30.0,otchody,otchody,1,0
f71v,1,3,10,02:00,60.0,alcphy,alcphy,1,0
f71v,1,4,10,03:00,90.0,otaiin,otaiin,1,0
f71v,1,5,10,04:30,135.0,okaraiin,okaraiin,1,0
f71v,1,6,10,05:30,165.0,"otar.ar,aly","otar.ar,aly",2,0
f71v,1,7,10,07:00,210.0,opalar.am.dan,opalar.am.dan,1,0
f71v,1,8,10,09:00,270.0,opalor.ar,opalor.ar,1,0
f71v,1,9,10,10:00,300.0,char.arom,char.arom,1,0
f71v,1,10,10,11:00,330.0,chfaly,chfaly,1,0
f71v,2,1,5,00:00,0.0,otalody,otalody,1,0
f71v,2,2,5,03:00,90.0,otalaiin,otalaiin,1,0
f71v,2,3,5,05:30,165.0,otar.sh[a:o]r,otar.shar,1,0
f71v,2,4,5,08:30,255.0,sholshdy,sholshdy,1,0
f71v,2,5,5,10:00,300.0,ofa{if}om,ofaom,1,0
f72r1,1,1,10,00:00,0.0,"oaiin,ar,ary","oaiin,ar,ary",3,0
f72r1,1,2,10,01:00,30.0,okalam,okalam,1,0
f72r1,1,3,10,02:00,60.0,ytalshdy,ytalshdy,1,0
f72r1,1,4,10,03:00,90.0,char.alif,char.alif,1,0
f72r1,1,5,10,03:30,105.0,otaraldy,otaraldy,1,0
f72r1,1,6,10,05:00,150.0,otaiin.otain,otaiin.otain,1,0
f72r1,1,7,10,07:00,210.0,"otalef,ys.ainam","otalef,ys.ainam",2,0
f72r1,1,8,10,08:30,255.0,"ochol,sharam","ochol,sharam",2,0
f72r1,1,9,10,09:30,285.0,oshod[a:o]dy,oshodady,1,0
f72r1,1,10,10,10:30,315.0,chdaiirdainy,chdaiirdainy,1,0
f72r1,2,1,5,00:00,0.0,otchoshy,otchoshy,1,0
f72r1,2,2,5,02:00,60.0,otchdal,otchdal,1,0
f72r1,2,3,5,04:00,120.0,okeey.ary,okeey.ary,1,0
f72r1,2,4,5,07:00,210.0,otainy,otainy,1,0
f72r1,2,5,5,09:00,270.0,ofaralar,ofaralar,1,0
f72r2,1,1,5,00:00,0.0,okaram,okaram,1,0
f72r2,1,2,5,00:30,15.0,okairy,okairy,1,0
f72r2,1,3,5,01:00,30.0,okealar,okealar,1,0
f72r2,1,4,5,10:30,315.0,ofchdamy,ofchdamy,1,0
f72r2,1,5,5,11:00,330.0,oklairdy,oklairdy,1,0
f72r2,2,1,15,00:15,7.5,okaly,okaly,1,0
f72r2,2,2,15,01:00,30.0,okal,okal,1,0
f72r2,2,3,15,02:00,60.0,okeey.ary,okeey.ary,1,0
f72r2,2,4,15,03:00,90.0,oteeary,oteeary,1,0
f72r2,2,5,15,04:00,120.0,"otair,dy","otair,dy",2,0
f72r2,2,6,15,05:00,150.0,okaircham,okaircham,1,0
f72r2,2,7,15,06:00,180.0,okeal,okeal,1,0
f72r2,2,8,15,06:30,195.0,otar{cr},otar,1,0
f72r2,2,9,15,07:30,225.0,okaly,okaly,1,0
f72r2,2,10,15,08:00,240.0,orary,orary,1,0
f72r2,2,11,15,09:00,270.0,okyd,okyd,1,0
f72r2,2,12,15,09:30,285.0,otolam,otolam,1,0
f72r2,2,13,15,10:00,300.0,otaraldy,otaraldy,1,0
f72r2,2,14,15,11:00,330.0,okalar,okalar,1,0
f72r2,2,15,15,11:45,352.5,okal,okal,1,0
f72r2,3,1,9,00:30,15.0,okam,okam,1,0
f72r2,3,2,9,02:00,60.0,otalshy,otalshy,1,0
f72r2,3,3,9,03:30,105.0,okaldy,okaldy,1,0
f72r2,3,4,9,05:00,150.0,chosar,chosar,1,0
f72r2,3,5,9,06:30,195.0,otam,otam,1,0
f72r2,3,6,9,08:00,240.0,ainaly,ainaly,1,0
f72r2,3,7,9,09:00,270.0,okarcham,okarcham,1,0
f72r2,3,8,9,10:30,315.0,otal,otal,1,0
f72r2,3,9,9,11:30,345.0,ralal,ralal,1,0
f72r3,1,1,12,00:00,0.0,oraiinam,oraiinam,1,0
f72r3,1,2,12,01:00,30.0,osarsheeeo,osarsheeeo,1,0
f72r3,1,3,12,02:00,60.0,oto@192;aiin,otoaiin,1,0
f72r3,1,4,12,02:30,75.0,"opoiiin[o:?]in.al,[ch:a]es","opoiiinoin.al,ches",2,0
f72r3,1,5,12,04:00,120.0,ypaiin.alaly,ypaiin.alaly,1,0
f72r3,1,6,12,05:00,150.0,"oteey,daiin","oteey,daiin",2,0
f72r3,1,7,12,06:30,195.0,oeeodaiin,oeeodaiin,1,0
f72r3,1,8,12,07:00,210.0,ofsholdy,ofsholdy,1,0
f72r3,1,9,12,07:00,210.0,opoeey.okaiin,opoeey.okaiin,1,0
f72r3,1,10,12,10:00,300.0,ykolairol,ykolairol,1,0
f72r3,1,11,12,10:30,315.0,olkalaiin,olkalaiin,1,0
f72r3,1,12,12,11:00,330.0,olalsy,olalsy,1,0
f72r3,2,1,11,00:00,0.0,ytairal,ytairal,1,0
f72r3,2,2,11,01:00,30.0,oeee[s:r]aiin,oeeesaiin,1,0
f72r3,2,3,11,01:30,45.0,ory,ory,1,0
f72r3,2,4,11,02:30,75.0,"ochey,fydy","ochey,fydy",2,0
f72r3,2,5,11,03:30,105.0,of???.o.eeesaly,of.o.eeesaly,1,0
f72r3,2,6,11,05:00,150.0,ykaraiin.airal,ykaraiin.airal,1,0
f72r3,2,7,11,06:30,195.0,okalar,okalar,1,0
f72r3,2,8,11,08:00,240.0,orara,orara,1,0
f72r3,2,9,11,09:00,270.0,olaiin.ola{ikh}y,olaiin.olay,1,0
f72r3,2,10,11,10:00,300.0,olfsheoral,olfsheoral,1,0
f72r3,2,11,11,11:00,330.0,oralkam,oralkam,1,0
f72r3,3,1,7,00:00,0.0,yfary,yfary,1,0
f72r3,3,2,7,01:30,45.0,oraiiral,oraiiral,1,0
f72r3,3,3,7,03:00,90.0,ytoar.shar,ytoar.shar,1,0
f72r3,3,4,7,06:00,180.0,octho,octho,1,0
f72r3,3,5,7,07:30,225.0,aral,aral,1,0
f72r3,3,6,7,09:00,270.0,oletal,oletal,1,0
f72r3,3,7,7,10:30,315.0,opalal,opalal,1,0
f72v1,1,1,20,01:00,30.0,okeeoly,okeeoly,1,0
f72v1,1,2,20,01:30,45.0,odal,odal,1,0
f72v1,1,3,20,01:45,52.5,oees,oees,1,0
f72v1,1,4,20,02:00,60.0,aiinod,aiinod,1,0
f72v1,1,5,20,02:45,82.5,od[?:ch]dy,oddy,1,0
f72v1,1,6,20,03:15,97.5,oteod,oteod,1,0
f72v1,1,7,20,03:45,112.5,yteod,yteod,1,0
f72v1,1,8,20,04:30,135.0,ok[?:ch]ody,okody,1,0
f72v1,1,9,20,05:00,150.0,okal,okal,1,0
f72v1,1,10,20,05:30,165.0,ytaly,ytaly,1,0
f72v1,1,11,20,06:00,180.0,oeeeos,oeeeos,1,0
f72v1,1,12,20,06:30,195.0,oteofy,oteofy,1,0
f72v1,1,13,20,07:30,225.0,cheoepy,cheoepy,1,0
f72v1,1,14,20,08:00,240.0,ykeedy,ykeedy,1,0
f72v1,1,15,20,08:45,262.5,oeeoty,oeeoty,1,0
f72v1,1,16,20,09:30,285.0,octhy,octhy,1,0
f72v1,1,17,20,10:00,300.0,oteoly,oteoly,1,0
f72v1,1,18,20,10:30,315.0,okeoly,okeoly,1,0
f72v1,1,19,20,11:00,330.0,oeees,oeees,1,0
f72v1,1,20,20,11:30,345.0,o{cfh'h}y,oy,1,0
f72v1,2,1,10,00:00,0.0,oiiny,oiiny,1,0
f72v1,2,2,10,01:00,30.0,oeey,oeey,1,0
f72v1,2,3,10,03:00,90.0,okedy,okedy,1,0
f72v1,2,4,10,04:30,135.0,ypaim,ypaim,1,0
f72v1,2,5,10,05:30,165.0,okalair,okalair,1,0
f72v1,2,6,10,06:30,195.0,oeeody,oeeody,1,0
f72v1,2,7,10,07:30,225.0,okeol,okeol,1,0
f72v1,2,8,10,08:45,262.5,oeeoly,oeeoly,1,0
f72v1,2,9,10,10:00,300.0,okydy,okydy,1,0
f72v1,2,10,10,11:30,345.0,okeey,okeey,1,0
f72v2,1,1,18,00:30,15.0,"air,aim","air,aim",2,0
f72v2,1,2,18,01:00,30.0,oshesy,oshesy,1,0
f72v2,1,3,18,02:00,60.0,oke[a:o]ry,okeary,1,0
f72v2,1,4,18,02:30,75.0,cheoetey,cheoetey,1,0
f72v2,1,5,18,03:00,90.0,cheol[d:?]y,cheoldy,1,0
f72v2,1,6,18,04:00,120.0,sheoeky,sheoeky,1,0
f72v2,1,7,18,04:30,135.0,oteodar,oteodar,1,0
f72v2,1,8,18,05:30,165.0,ofchdysd,ofchdysd,1,0
f72v2,1,9,18,06:00,180.0,oteoyd,oteoyd,1,0
f72v2,1,10,18,06:30,195.0,yteody,yteody,1,0
f72v2,1,11,18,07:00,210.0,okeody,okeody,1,0
f72v2,1,12,18,08:00,240.0,okeoldy,okeoldy,1,0
f72v2,1,13,18,08:30,255.0,ykeeor,ykeeor,1,0
f72v2,1,14,18,09:00,270.0,opaiina[m:r],opaiinam,1,0
f72v2,1,15,18,09:30,285.0,cheoldy,cheoldy,1,0
f72v2,1,16,18,10:00,300.0,oeedey,oeedey,1,0
f72v2,1,17,18,11:00,330.0,oeeodaiin,oeeodaiin,1,0
f72v2,1,18,18,11:45,352.5,okeoram,okeoram,1,0
f72v2,2,1,12,00:30,15.0,oeedy,oeedy,1,0
f72v2,2,2,12,01:00,30.0,opalg<!nymph has no star>,opalg,1,0
f72v2,2,3,12,02:00,60.0,okeeom,okeeom,1,0
f72v2,2,4,12,03:00,90.0,olkar,olkar,1,0
f72v2,2,5,12,04:00,120.0,oeedaly<!nymph stands on barrel>,oeedaly,1,0
f72v2,2,6,12,05:00,150.0,cheosy,cheosy,1,0
f72v2,2,7,12,06:30,195.0,ofcheay,ofcheay,1,0
f72v2,2,8,12,07:30,225.0,yteedy,yteedy,1,0
f72v2,2,9,12,08:30,255.0,o[n:r]aiin,onaiin,1,0
f72v2,2,10,12,09:30,285.0,okeorar,okeorar,1,0
f72v2,2,11,12,10:30,315.0,okaiin[:y],okaiin,1,0
f72v2,2,12,12,11:30,345.0,ockhol,ockhol,1,0
f72v3,1,1,18,00:00,0.0,okey,okey,1,0
f72v3,1,2,18,00:30,15.0,otcheody,otcheody,1,0
f72v3,1,3,18,01:00,30.0,okyeeshy,okyeeshy,1,0
f72v3,1,4,18,01:30,45.0,[{c'y}:??]ofaiin,ofaiin,1,0
f72v3,1,5,18,02:00,60.0,okaly,okaly,1,0
f72v3,1,6,18,02:45,82.5,ot[o:a]ly,otoly,1,0
f72v3,1,7,18,03:30,105.0,ofalals,ofalals,1,0
f72v3,1,8,18,04:00,120.0,sheeos.o{cfhh}y,sheeos.oy,1,0
f72v3,1,9,18,05:00,150.0,"daiin,chepy","daiin,chepy",2,0
f72v3,1,10,18,06:00,180.0,oteey.deeal,oteey.deeal,1,0
f72v3,1,11,18,07:00,210.0,chealpy,chealpy,1,0
f72v3,1,12,18,07:30,225.0,okeeol,okeeol,1,0
f72v3,1,13,18,08:30,255.0,okaly,okaly,1,0
f72v3,1,14,18,09:00,270.0,okaldy,okaldy,1,0
f72v3,1,15,18,09:30,285.0,okeolyd,okeolyd,1,0
f72v3,1,16,18,10:00,300.0,ocham,ocham,1,0
f72v3,1,17,18,11:00,330.0,orchey,orchey,1,0
f72v3,1,18,18,11:30,345.0,okam,okam,1,0
f72v3,2,1,12,00:30,15.0,ch{cthh}y,chy,1,0
f72v3,2,2,12,01:00,30.0,laly,laly,1,0
f72v3,2,3,12,02:00,60.0,oeedy,oeedy,1,0
f72v3,2,4,12,03:00,90.0,odairan,odairan,1,0
f72v3,2,5,12,04:00,120.0,okary,okary,1,0
f72v3,2,6,12,05:00,150.0,oeesaiin,oeesaiin,1,0
f72v3,2,7,12,06:30,195.0,oteesed,oteesed,1,0
f72v3,2,8,12,07:30,225.0,opal,opal,1,0
f72v3,2,9,12,08:30,255.0,otaly,otaly,1,0
f72v3,2,10,12,09:30,285.0,"otaly,yty","otaly,yty",2,0
f72v3,2,11,12,10:30,315.0,choleey,choleey,1,0
f72v3,2,12,12,11:30,345.0,oky,oky,1,0
f73r,1,1,4,00:30,15.0,otedy,otedy,1,0
f73r,1,2,4,01:00,30.0,yteeody,yteeody,1,0
f73r,1,3,4,11:15,337.5,otaly,otaly,1,0
f73r,1,4,4,11:45,352.5,chockhy,chockhy,1,0
f73r,2,1,16,00:00,0.0,oteedyl,oteedyl,1,0
f73r,2,2,16,00:30,15.0,[y:o]keedy,ykeedy,1,0
f73r,2,3,16,01:00,30.0,okeey,okeey,1,0
f73r,2,4,16,02:00,60.0,okeedy,okeedy,1,0
f73r,2,5,16,02:30,75.0,ykeeory,ykeeory,1,0
f73r,2,6,16,03:30,105.0,oteeosy,oteeosy,1,0
f73r,2,7,16,04:30,135.0,shekal,shekal,1,0
f73r,2,8,16,05:30,165.0,oteedyy,oteedyy,1,0
f73r,2,9,16,06:30,195.0,oked[a:o]l,okedal,1,0
f73r,2,10,16,07:00,210.0,chdy,chdy,1,0
f73r,2,11,16,08:00,240.0,dalshey,dalshey,1,0
f73r,2,12,16,08:45,262.5,opaiin,opaiin,1,0
f73r,2,13,16,09:30,285.0,okeos,okeos,1,0
f73r,2,14,16,10:00,300.0,otey,otey,1,0
f73r,2,15,16,11:00,330.0,otaly,otaly,1,0
f73r,2,16,16,11:30,345.0,okeody,okeody,1,0
f73r,3,1,10,01:00,30.0,okeeody,okeeody,1,0
f73r,3,2,10,02:00,60.0,oyteedy,oyteedy,1,0
f73r,3,3,10,03:00,90.0,oky,oky,1,0
f73r,3,4,10,04:30,135.0,chefy,chefy,1,0
f73r,3,5,10,06:00,180.0,otal,otal,1,0
f73r,3,6,10,07:00,210.0,chek,chek,1,0
f73r,3,7,10,08:30,255.0,ar,ar,1,0
f73r,3,8,10,09:30,285.0,kar,kar,1,0
f73r,3,9,10,10:30,315.0,okeeos,okeeos,1,0
f73r,3,10,10,11:30,345.0,okary,okary,1,0
f73v,1,1,4,00:30,15.0,oteedy,oteedy,1,0
f73v,1,2,4,01:00,30.0,eeeody,eeeody,1,0
f73v,1,3,4,11:00,330.0,okol,okol,1,0
f73v,1,4,4,11:45,352.5,oteody,oteody,1,0
f73v,2,1,16,00:00,0.0,ee[r:n]y,eery,1,0
f73v,2,2,16,01:00,30.0,okeor,okeor,1,0
f73v,2,3,16,01:30,45.0,ofals,ofals,1,0
f73v,2,4,16,02:00,60.0,ykeody,ykeody,1,0
f73v,2,5,16,03:00,90.0,oteody,oteody,1,0
f73v,2,6,16,03:30,105.0,ypaiin,ypaiin,1,0
f73v,2,7,16,04:00,120.0,"yfaiin,y","yfaiin,y",2,0
f73v,2,8,16,05:00,150.0,ofcheesy,ofcheesy,1,0
f73v,2,9,16,06:00,180.0,oraiiny,oraiiny,1,0
f73v,2,10,16,07:00,210.0,ykeeody,ykeeody,1,0
f73v,2,11,16,07:30,225.0,okeos,okeos,1,0
f73v,2,12,16,08:30,255.0,ykeear,ykeear,1,0
f73v,2,13,16,09:00,270.0,qokeoly,qokeoly,1,0
f73v,2,14,16,10:00,300.0,okeody,okeody,1,0
f73v,2,15,16,10:30,315.0,sheol,sheol,1,0
f73v,2,16,16,11:30,345.0,odees,odees,1,0
f73v,3,1,10,01:00,30.0,oky,oky,1,0
f73v,3,2,10,02:00,60.0,oia?,oia,1,0
f73v,3,3,10,02:30,75.0,okal,okal,1,0
f73v,3,4,10,03:30,105.0,ykey,ykey,1,0
f73v,3,5,10,05:00,150.0,ykeee,ykeee,1,0
f73v,3,6,10,06:00,180.0,okeod,okeod,1,0
f73v,3,7,10,07:30,225.0,ykey,ykey,1,0
f73v,3,8,10,08:30,255.0,ypal,ypal,1,0
f73v,3,9,10,09:30,285.0,otedy,otedy,1,0
f73v,3,10,10,11:00,330.0,eeed,eeed,1,0
